Workshop_ID,Title,Date,Location,Target_Audience,Trainers,Duration_Hours,Participants_Count,Key_Topics
WKS001,Emergency Evacuation,2023-12-09,Ghogha,Students,Fire Department,6,133,"Communication in Crisis, Fire Safety, Search and Rescue"
WKS002,First Aid Basics,2023-07-18,Bhavnagar,Government Officials,NDRF,6,20,Emergency Evacuation
WKS003,Emergency Evacuation,2022-09-30,Mundra,Volunteers,Medical Team,11,261,Search and Rescue
WKS004,Fire Safety,2022-11-22,Porbandar,Government Officials,Fire Department,3,242,Emergency Evacuation
WKS005,Emergency Evacuation,2024-11-04,Veraval,Farmers,Fire Department,11,271,First Aid Basics
WKS006,Communication in Crisis,2022-09-24,Surat,Fishermen,Medical Team,4,277,First Aid Basics
WKS007,Fire Safety,2023-10-02,Mundra,Local Residents,NDRF,3,216,Communication in Crisis
WKS008,Search and Rescue,2022-09-30,Bhavnagar,Fishermen,Fire Department,4,63,Communication in Crisis
WKS009,Communication in Crisis,2024-05-06,Mundra,Students,Local NGO,10,157,"Search and Rescue, Fire Safety, Emergency Evacuation"
WKS010,Communication in Crisis,2022-07-10,Ghogha,Local Residents,Local NGO,4,127,"Emergency Evacuation, First Aid Basics, Communication in Crisis"
WKS011,Search and Rescue,2024-01-04,Surat,Fishermen,Local NGO,12,217,"Fire Safety, Communication in Crisis"
WKS012,Emergency Evacuation,2023-06-25,Kandla,Students,Local NGO,2,64,"Communication in Crisis, Fire Safety"
WKS013,Search and Rescue,2024-07-25,Okha,Farmers,Medical Team,12,279,"Communication in Crisis, Fire Safety"
WKS014,Emergency Evacuation,2023-12-14,Ghogha,Students,Local NGO,9,188,"First Aid Basics, Communication in Crisis"
WKS015,Search and Rescue,2024-01-31,Veraval,Fishermen,Red Cross,10,202,"Fire Safety, Emergency Evacuation"
WKS016,Communication in Crisis,2024-09-16,Veraval,Government Officials,NDRF,4,86,"Communication in Crisis, Search and Rescue, Fire Safety"
WKS017,Emergency Evacuation,2022-09-09,Kandla,Local Residents,Local NGO,7,55,"Fire Safety, Search and Rescue, First Aid Basics"
WKS018,First Aid Basics,2022-02-25,Surat,Local Residents,NDRF,11,194,"Fire Safety, Emergency Evacuation"
WKS019,Communication in Crisis,2023-12-27,Mundra,Farmers,Medical Team,9,141,"Fire Safety, First Aid Basics"
WKS020,Search and Rescue,2024-12-11,Mundra,Fishermen,NDRF,2,168,"First Aid Basics, Communication in Crisis"
WKS021,Communication in Crisis,2025-01-25,Diu,Government Officials,Red Cross,8,25,"Fire Safety, Communication in Crisis, Search and Rescue"
WKS022,Communication in Crisis,2023-08-30,Okha,Students,Red Cross,4,262,First Aid Basics
WKS023,Search and Rescue,2023-09-28,Okha,Students,Medical Team,4,84,First Aid Basics
WKS024,Communication in Crisis,2024-07-15,Diu,Government Officials,Medical Team,3,79,Emergency Evacuation
WKS025,Fire Safety,2023-07-10,Porbandar,Fishermen,Medical Team,8,225,Communication in Crisis
